Hour,Predicted_PM25
2025-10-08 18:46:40.261293,176.41652
2025-10-08 19:46:40.261293,193.86725
2025-10-08 20:46:40.261293,187.47696
2025-10-08 21:46:40.261293,178.80997
2025-10-08 22:46:40.261293,166.19397
2025-10-08 23:46:40.261293,157.60373
2025-10-09 00:46:40.261293,146.20505
2025-10-09 01:46:40.261293,132.30238
2025-10-09 02:46:40.261293,118.98869
2025-10-09 03:46:40.261293,112.59505
2025-10-09 04:46:40.261293,106.71675
2025-10-09 05:46:40.261293,102.63207
2025-10-09 06:46:40.261293,100.27018
2025-10-09 07:46:40.261293,99.05389
2025-10-09 08:46:40.261293,97.80112
2025-10-09 09:46:40.261293,96.73559
2025-10-09 10:46:40.261293,96.93637
2025-10-09 11:46:40.261293,97.14167
2025-10-09 12:46:40.261293,97.60142
2025-10-09 13:46:40.261293,97.85576
2025-10-09 14:46:40.261293,97.2756
2025-10-09 15:46:40.261293,96.606094
2025-10-09 16:46:40.261293,96.243515
2025-10-09 17:46:40.261293,95.801
